Date : 2021-09-27 13:37:23
Directory : c:\Users\surya\practice projects\flutter\notes_app
Total : 480 files,  168573 codes, 9573 comments, 658 blanks, all 178804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-az                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-b+sr+Latn                                                                                                               |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-be                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bg                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bn                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-bs                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ca                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-cs                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-da                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-de                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-el                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rAU                                                                                                                  |          1 |          4 |          0 |          0 |          4 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rCA                                                                                                                  |          1 |          4 |          0 |          0 |          4 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rGB                                                                                                                  |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rIN                                                                                                                  |          1 |          4 |          0 |          0 |          4 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-en-rXC                                                                                                                  |          1 |          4 |          0 |          0 |          4 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-es                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-es-rUS                                                                                                                  |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-et                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-eu                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fa                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fi                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fr                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-fr-rCA                                                                                                                  |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-gl                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-gu                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hi                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hr                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hu                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-hy                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-in                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-is                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-it                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-iw                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ja                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ka                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-kk                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-km                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-kn                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ko                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ky                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lo                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lt                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-lv                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mk                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ml                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mn                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-mr                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ms                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-my                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-nb                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ne                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-night-v8                                                                                                                |          1 |          9 |          2 |          0 |         11 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-nl                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-or                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-pa                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-pl                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-pt                                                                                                                      |          1 |          4 |          0 |          0 |          4 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-pt-rBR                                                                                                                  |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-pt-rPT                                                                                                                  |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ro                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ru                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-si                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sk                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sl                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sq                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sr                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sv                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-sw                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-ta                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-te                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-th                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-tl                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| build\app\intermediates\incremental\mergeDebugResources\merged.dir\values-tr                                                                                                                      |          1 |         22 |          0 |          0 |         22 |
