Date : 2021-09-27 13:37:23
Directory : c:\Users\surya\practice projects\flutter\notes_app
Total : 480 files,  168573 codes, 9573 comments, 658 blanks, all 178804 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-be.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-bg.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-bn.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-bs.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ca.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-cs.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-da.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-de.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-el.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-en-rAU.json                                                          | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-en-rCA.json                                                          | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-en-rGB.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-en-rIN.json                                                          | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-en-rXC.json                                                          | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-es-rUS.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-es.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-et.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-eu.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-fa.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-fi.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-fr-rCA.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-fr.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-gl.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-gu.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-hi.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-hr.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-hu.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-hy.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-in.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-is.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-it.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-iw.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ja.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ka.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-kk.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-km.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-kn.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ko.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ky.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-lo.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-lt.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-lv.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-mk.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ml.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-mn.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-mr.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ms.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-my.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-nb.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ne.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-night-v8.json                                                        | JSON       |         28 |          0 |          0 |         28 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-nl.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-or.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-pa.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-pl.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-pt-rBR.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-pt-rPT.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-pt.json                                                              | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ro.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ru.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-si.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sk.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sl.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sq.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sr.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sv.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-sw.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ta.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-te.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-th.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-tl.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-tr.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-uk.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-ur.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-uz.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-v16.json                                                             | JSON       |         19 |          0 |          0 |         19 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-v21.json                                                             | JSON       |         20 |          0 |          0 |         20 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-vi.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-zh-rCN.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-zh-rHK.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-zh-rTW.json                                                          | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values-zu.json                                                              | JSON       |         60 |          0 |          0 |         60 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\multi-v2\values.json                                                                 | JSON       |        136 |          0 |          0 |        136 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\merged_res_blame_folder\debug\out\single\debug.json                                                                    | JSON       |         26 |          0 |          0 |         26 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\navigation_json\debug\navigation.json                                                                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\packaged_manifests\debug\AndroidManifest.xml                                                                           | XML        |        156 |         21 |         20 |        197 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\packaged_manifests\debug\output-metadata.json                                                                          | JSON       |         18 |          0 |          0 |         18 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\intermediates\processed_res\debug\out\output-metadata.json                                                                           | JSON       |         18 |          0 |          0 |         18 |
| c:\Users\surya\practice projects\flutter\notes_app\build\app\outputs\apk\debug\output-metadata.json                                                                                               | JSON       |         18 |          0 |          0 |         18 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\generated\source\buildConfig\debug\io\flutter\plugins\firebase\firestore\BuildConfig.java                                | Java       |          8 |          5 |          2 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                                              | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\aapt_friendly_merged_manifests\debug\aapt\output-metadata.json                                             | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\aar_metadata\debug\aar-metadata.properties                                                                 | Properties |          2 |          0 |          1 |          3 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\annotation_processor_list\debug\annotationProcessors.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                                             | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\incremental\mergeDebugShaders\merger.xml                                                                   | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\incremental\packageDebugAssets\merger.xml                                                                  | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\incremental\packageDebugResources\compile-file-map.properties                                              | Properties |          0 |          1 |          1 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\incremental\packageDebugResources\merger.xml                                                               | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\library_manifest\debug\AndroidManifest.xml                                                                 | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\navigation_json\debug\navigation.json                                                                      | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\cloud_firestore\intermediates\packaged_manifests\debug\output-metadata.json                                                              | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\generated\source\buildConfig\debug\io\flutter\plugins\firebase\auth\BuildConfig.java                                       | Java       |          8 |          5 |          2 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                                                | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\aapt_friendly_merged_manifests\debug\aapt\output-metadata.json                                               | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\aar_metadata\debug\aar-metadata.properties                                                                   | Properties |          2 |          0 |          1 |          3 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\annotation_processor_list\debug\annotationProcessors.json                                                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                                               | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\incremental\mergeDebugShaders\merger.xml                                                                     | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\incremental\packageDebugAssets\merger.xml                                                                    | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\incremental\packageDebugResources\compile-file-map.properties                                                | Properties |          0 |          1 |          1 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\incremental\packageDebugResources\merger.xml                                                                 | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\library_manifest\debug\AndroidManifest.xml                                                                   | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\navigation_json\debug\navigation.json                                                                        | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_auth\intermediates\packaged_manifests\debug\output-metadata.json                                                                | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\generated\source\buildConfig\debug\io\flutter\plugins\firebase\core\BuildConfig.java                                       | Java       |          8 |          5 |          2 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                                                | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\aapt_friendly_merged_manifests\debug\aapt\output-metadata.json                                               | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\aar_metadata\debug\aar-metadata.properties                                                                   | Properties |          2 |          0 |          1 |          3 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\annotation_processor_list\debug\annotationProcessors.json                                                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                                               | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\incremental\mergeDebugShaders\merger.xml                                                                     | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\incremental\packageDebugAssets\merger.xml                                                                    | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\incremental\packageDebugResources\compile-file-map.properties                                                | Properties |          0 |          1 |          1 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\incremental\packageDebugResources\merger.xml                                                                 | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\library_manifest\debug\AndroidManifest.xml                                                                   | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\navigation_json\debug\navigation.json                                                                        | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_core\intermediates\packaged_manifests\debug\output-metadata.json                                                                | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\generated\source\buildConfig\debug\io\flutter\plugins\firebase\storage\BuildConfig.java                                 | Java       |          8 |          5 |          2 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                                             | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\aapt_friendly_merged_manifests\debug\aapt\output-metadata.json                                            | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\aar_metadata\debug\aar-metadata.properties                                                                | Properties |          2 |          0 |          1 |          3 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\annotation_processor_list\debug\annotationProcessors.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                                            | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\incremental\mergeDebugShaders\merger.xml                                                                  | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\incremental\packageDebugAssets\merger.xml                                                                 | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\incremental\packageDebugResources\compile-file-map.properties                                             | Properties |          0 |          1 |          1 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\incremental\packageDebugResources\merger.xml                                                              | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\library_manifest\debug\AndroidManifest.xml                                                                | XML        |         12 |          0 |          3 |         15 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\navigation_json\debug\navigation.json                                                                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\firebase_storage\intermediates\packaged_manifests\debug\output-metadata.json                                                             | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_assets\AssetManifest.json                                                                                                        | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_assets\FontManifest.json                                                                                                         | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\generated\source\buildConfig\debug\io\flutter\plugins\flutter_plugin_android_lifecycle\BuildConfig.java | Java       |          6 |          3 |          2 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                             | XML        |          5 |          0 |          2 |          7 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\aapt_friendly_merged_manifests\debug\aapt\output-metadata.json                            | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\aar_metadata\debug\aar-metadata.properties                                                | Properties |          2 |          0 |          1 |          3 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\annotation_processor_list\debug\annotationProcessors.json                                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\incremental\mergeDebugJniLibFolders\merger.xml                                            | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\incremental\mergeDebugShaders\merger.xml                                                  | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\incremental\packageDebugAssets\merger.xml                                                 | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\incremental\packageDebugResources\compile-file-map.properties                             | Properties |          0 |          1 |          1 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\incremental\packageDebugResources\merger.xml                                              | XML        |          2 |          0 |          0 |          2 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\library_manifest\debug\AndroidManifest.xml                                                | XML        |          5 |          0 |          2 |          7 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\navigation_json\debug\navigation.json                                                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\surya\practice projects\flutter\notes_app\build\flutter_plugin_android_lifecycle\intermediates\packaged_manifests\debug\output-metadata.json                                             | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\surya\practice projects\flutter\notes_app\build\image_picker\generated\source\buildConfig\debug\io\flutter\plugins\imagepicker\BuildConfig.java                                          | Java       |          6 |          3 |          2 |         11 |
| c:\Users\surya\practice projects\flutter\notes_app\build\image_picker\intermediates\aapt_friendly_merged_manifests\debug\aapt\AndroidManifest.xml                                                 | XML        |         16 |          0 |          3 |         19 |
